formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_00000.hoa,?,?,daisy,1,0,1,1.0,0.066,True,0
aut_00257.hoa,?,?,daisy,1,0,1,1.0,0.066,True,1
aut_00258.hoa,?,?,daisy,3,1,3,1.0,0.069,True,XGa
aut_00259.hoa,?,?,daisy,4,1,4,1.0,0.067,True,XG!a
aut_00261.hoa,?,?,daisy,1,0,1,1.0,0.068,True,1
aut_00262.hoa,?,?,daisy,3,2,3,1.0,0.067,True,GFa
aut_00263.hoa,?,?,daisy,4,2,4,1.0,0.067,True,GF!a
aut_00265.hoa,?,?,daisy,1,0,1,1.0,0.066,True,1
aut_00288.hoa,?,?,-,,,,,0.594,NOT_LTL,
aut_00290.hoa,?,?,buchi,31,5,72,2.3,1.149,True,X(a & ((XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))) | (X(a | Xa) & (…
aut_00292.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_00294.hoa,?,?,buchi,9,3,14,1.6,1.144,True,X(Fa & G(!a | X(!a R Fa)))
aut_00296.hoa,?,?,buchi,31,5,72,2.3,1.160,True,X(a & ((XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))) | (X(a | Xa) & (…
aut_00298.hoa,?,?,buchi,31,5,72,2.3,1.138,True,X(a & ((XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))) | (X(a | Xa) & (…
aut_00300.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_00304.hoa,?,?,-,,,,,0.586,NOT_LTL,
aut_00307.hoa,?,?,buchi,31,5,70,2.3,1.140,True,X(!a & ((XFa & ((a & Xa) R (a | X(a R (!a | X(!a & XFa)))))) | (X(!a | X!a) & ((…
aut_00308.hoa,?,?,daisy2,4,2,4,1.0,0.067,True,GF!a
aut_00311.hoa,?,?,buchi,9,3,14,1.6,1.119,True,X(F!a & G(a | X(a R F!a)))
aut_00312.hoa,?,?,daisy2,4,2,4,1.0,0.063,True,GF!a
aut_00316.hoa,?,?,buchi,31,5,70,2.3,1.152,True,X(!a & ((XFa & ((a & Xa) R (a | X(a R (!a | X(!a & XFa)))))) | (X(!a | X!a) & ((…
aut_00319.hoa,?,?,buchi,31,5,70,2.3,1.142,True,X(!a & ((XFa & ((a & Xa) R (a | X(a R (!a | X(!a & XFa)))))) | (X(!a | X!a) & ((…
aut_00324.hoa,?,?,daisy2,1,0,1,1.0,0.066,True,1
aut_00326.hoa,?,?,acc,1,0,1,1.0,1.114,True,1
aut_00327.hoa,?,?,acc,1,0,1,1.0,1.114,True,1
aut_00328.hoa,?,?,daisy2,1,0,1,1.0,0.067,True,1
aut_00330.hoa,?,?,daisy,1,0,1,1.0,0.068,True,1
aut_00332.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
