input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
counting_buchi_1ap_01.txt,NOT_LTL,-,1.170,p=2 u=[] v=[a] x=[!a; cycle{a}],,,,,,TRUE,0.058,samples/kinska/counting/1ap/counting_buchi_1ap_01.txt
counting_buchi_1ap_02.txt,NOT_LTL,-,1.174,p=2 u=[] v=[a] x=[!a; cycle{a}],,,,,,TRUE,0.056,samples/kinska/counting/1ap/counting_buchi_1ap_02.txt
counting_buchi_1ap_03.txt,LTL,partscc,0.079,!a & G((!a | X!a) & (a | Xa)),9,1,15,1.7,307ad4ea6833,TRUE,0.043,samples/kinska/counting/1ap/counting_buchi_1ap_03.txt
counting_buchi_1ap_04.txt,LTL,partscc,0.081,!a & G((!a | X!a) & (a | Xa)),9,1,15,1.7,307ad4ea6833,TRUE,0.042,samples/kinska/counting/1ap/counting_buchi_1ap_04.txt
counting_buchi_1ap_05.txt,NOT_LTL,-,1.184,p=2 u=[a] v=[a] x=[a; cycle{!a}],,,,,,TRUE,0.056,samples/kinska/counting/1ap/counting_buchi_1ap_05.txt
counting_buchi_1ap_06.txt,LTL,daisy+daisystardet,0.091,a & (Ga | (((a | Xa) & (!a | X!a)) U (!a & XGa))),13,2,23,1.8,6584e5097340,TRUE,0.049,samples/kinska/counting/1ap/counting_buchi_1ap_06.txt
counting_buchi_1ap_07.txt,TIMEOUT,,16.013,,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_07.txt
counting_buchi_1ap_08.txt,NOT_LTL,-,1.164,p=2 u=[] v=[a] x=[cycle{!a}],,,,,,TRUE,0.057,samples/kinska/counting/1ap/counting_buchi_1ap_08.txt
counting_buchi_1ap_09.txt,NOT_LTL,-,1.157,p=2 u=[] v=[a] x=[!a; cycle{a}],,,,,,TRUE,0.055,samples/kinska/counting/1ap/counting_buchi_1ap_09.txt
counting_buchi_1ap_10.txt,NOT_LTL,-,1.150,p=2 u=[] v=[a] x=[a; !a; cycle{a}],,,,,,TRUE,0.054,samples/kinska/counting/1ap/counting_buchi_1ap_10.txt
counting_buchi_1ap_11.txt,NOT_LTL,-,1.162,p=2 u=[a] v=[a] x=[!a; a; cycle{!a}],,,,,,TRUE,0.056,samples/kinska/counting/1ap/counting_buchi_1ap_11.txt
counting_buchi_1ap_12.txt,LTL,buchi,1.443,!a & (Xa | ((a & X(a W (!a & Xa))) R (!a | X(!a R (a | X(a | X(a & X(!a & X!a)))…,23,3,53,2.3,edb60799066c,TRUE,0.046,samples/kinska/counting/1ap/counting_buchi_1ap_12.txt
counting_buchi_1ap_13.txt,LTL,buchi,1.436,!a & (Xa | ((a & X(a W (!a & Xa))) R (!a | X(!a R (a | X(a | X(a & X(!a & X!a)))…,23,3,53,2.3,edb60799066c,TRUE,0.045,samples/kinska/counting/1ap/counting_buchi_1ap_13.txt
